ID	Q1	Q2	Q3A	Q3B	Q3_ETC	Q4	Q5A	Q5B	Q5C	Q5D	Q5E	Q5F	Q5G	Q6A	Q6B	Q7	Q8	Q9A	Q9B	Q9C	Q9D	Q9E	Q9F	Q9G	Q9_ETC	Q10	Q11	Q12A	Q12B	Q13	Q14	Q15	Q16	Q17
26	1	1	3	1		1	5	4	3	4	3	2	4	3	3	1	2	0	1	0	0	0	0	0		4	1	1	0	3	2	3	1	
27	1	1	1	2		1	5	4	5	5	4	9	4	2	4	1	1	1	0	0	0	0	0	0		2	1	3	0	8	1	5	2	
28	2	1	1	3		1	5	5	5	5	5	4	4	1	4	1	1	1	0	0	0	0	0	0		1	2	1	4	1	1	1	1	
29	2	1	2	1		1	5	5	5	5	5	5	5	3	3	1	1	1	0	0	0	0	0	0		1	1	5	0	6	1	4	1	
30	2	1	4	1		1	5	5	5	5	4	5	5	2	5	1	1	0	0	0	0	0	1	0		1	1	1	10	3	1	3	2	
31	2	1	2	3		1	5	4	3	1	5	5	3	5	5	2	1	1	0	0	0	0	0	0		1	1	7	0	8	2	4	5	
32	2	1	2	1		1	5	5	5	3	9	3	4	5	5	2	2	1	0	0	0	0	0	0		2	1	1	0	1	2	3	1	
33	2	2	1	9		1	5	9	9	5	9	5	9	4	4	1	2	1	0	0	0	0	0	0		1	1	2	7	6	1	5	5	
34	1	4	1	2		1	4	9	4	4	4	4	4	4	4	1	2	1	0	0	0	0	0	0		1	1	12	0	8	1	4	1	
35	2	3	1	6		3	2	2	2	2	2	3	2	2	2	3	3	0	0	1	0	1	0	0		2	2	14	3	1	2	4	9	
36	1	1	2	9		1	5	5	5	5	5	5	5	5	5	1	1	1	0	0	0	0	0	0		1	1	2	0	4	2	5	1	
37	2	3	1	3		2	3	3	3	9	3	9	3	3	3	2	2	1	0	0	0	0	0	0		2	2	3	4	1	2	3	2	
38	2	1	1	3		1	1	1	1	1	1	1	1	1	5	1	1	1	0	0	0	0	0	0		1	1	3	0	3	1	4	1	
39	1	2	1	3		1	4	3	3	4	3	3	3	3	4	1	2	1	0	0	0	0	0	0		1	1	1	10	3	1	2	2	
40	1	1	1	9		1	9	9	5	9	9	9	3	5	5	1	2	1	0	0	0	0	0	0		1	1	2	5	7	2	3	7	
41	1	3	3	2		1	5	5	4	5	5	5	5	3	4	1	2	1	0	0	0	0	0	0		1	1	3	4	8	2	4	1	
42	2	4	4	9		2	9	9	9	9	9	9	1	9	2	9	9	0	0	0	0	0	0	0		2	2	1	10	5	1	5	1	
43	2	3	1	6		1	4	9	3	5	4	4	5	2	4	1	1	1	0	0	0	0	0	0		1	2	2	3	3	1	4	1	
44	1	3	1	9		2	2	5	9	9	9	9	9	5	2	1	3	1	0	0	0	0	0	0		2	1	1	6	8	1	5	4	
45	2	2	2	1		2	5	4	4	5	3	4	3	3	4	1	2	1	0	0	0	0	0	0		3	1	1	8	1	1	4	4	
46	1	2	1	2		1	4	4	4	9	3	9	3	3	2	1	2	0	0	0	0	0	0	0		1	1	6	0	7	2	5	2	
47	1	2	2	3		2	4	4	5	4	4	4	4	4	4	1	2	1	0	0	0	0	0	0		1	1	1	7	7	1	4	1	
48	1	1	1	3		1	4	5	4	5	4	4	4	1	4	1	1	1	0	0	0	0	0	0		1	1	1	5	2	1	5	2	
49	2	4	1	2		1	5	4	3	4	4	5	5	4	4	1	3	1	0	0	0	0	0	0		2	1	2	8	6	1	2	10	
50	2	1	1	2		1	5	5	5	9	5	9	5	5	5	1	1	0	0	0	0	0	0	0		1	1	6	2	8	2	5	1	
51	2	1	2	3		1	4	3	4	3	4	2	4	3	5	1	1	1	0	0	0	0	0	0		1	1	1	5	7	2	5	2	
52	1	2	1	2		1	5	9	9	9	9	4	3	3	3	1	1	0	0	0	0	0	1	0		1	1	1	2	6	2	5	13	
53	1	1	1	2		1	5	3	5	3	5	3	5	5	5	1	3	1	0	0	0	0	0	0		2	1	2	6	6	2	2	2	
54	1	4	1	2		1	4	4	4	4	4	4	4	4	4	1	3	0	0	0	0	0	1	0		1	2	2	0	8	2	5	1	
55	1	1	1	2		1	5	5	4	5	4	4	5	4	3	1	1	0	0	0	0	0	1	0		1	1	3	10	8	1	5	1	
56	2	3	1	2		1	4	4	2	5	4	5	4	3	4	1	1	1	0	0	0	0	0	0		2	1	5	0	4	1	4	15	
57	1	2	1	3		2	3	9	9	9	3	9	3	3	4	2	2	0	0	0	0	0	0	0		2	2	6	0	9	1	5	1	
58	1	2	1	3		1	4	5	3	5	3	5	4	4	5	1	2	1	0	0	0	0	0	0		1	1	2	0	3	2	2	2	
59	2	3	3	6		1	9	9	5	9	5	3	5	2	5	1	3	1	0	0	0	0	0	0		1	1	2	7	8	1	5	2	
60	1	2	1	2		1	4	3	1	3	4	3	4	5	5	1	2	1	0	0	0	0	0	0		1	3	1	11	7	2	4	2	
61	1	1	1	2		2	5	5	5	5	4	4	5	2	3	1	1	1	0	0	0	0	0	0		1	1	1	5	8	1	4	1	
62	1	1	2	1		1	5	5	5	5	5	5	5	9	5	1	1	1	0	0	0	0	0	0		1	1	4	0	7	1	4	1	
63	2	3	2	1		2	2	2	3	2	3	2	3	3	3	2	2	1	0	0	0	0	0	0		1	1	1	0	4	1	5	1	
64	1	1	2	4		1	5	5	5	5	5	5	5	5	5	1	1	1	0	0	0	0	0	0		1	1	1	0	6	1	3	1	
65	1	3	1	2		2	5	5	5	5	4	4	5	4	5	1	2	1	0	0	0	0	0	0		2	1	1	2	5	1	2	1	
66	2	2	1	3		2	3	3	3	3	3	3	3	3	3	2	2	1	0	0	0	0	0	0		2	1	1	11	9	2	1	17	
67	2	1	6	1		1	3	5	5	5	1	4	5	4	4	2	1	0	0	1	0	0	0	0		1	1	1	9	5	1	3	3	
68	1	1	1	2		1	5	5	5	5	5	5	5	4	5	1	1	1	0	0	0	0	0	0		1	1	10	0	3	1	5	2	
69	2	1	9	9		2	2	3	4	3	1	2	1	2	2	2	3	0	0	1	0	0	0	0		2	1	1	7	5	2	2	1	
70	1	2	2	1		2	5	5	5	5	3	5	9	3	3	2	9	1	0	0	0	0	0	0		2	1	1	4	3	2	5	1	
71	1	4	2	1		1	4	9	2	5	2	4	4	2	3	2	2	1	0	0	0	0	0	0		2	2	4	0	7	2	4	11	
72	1	2	1	2		2	4	4	4	4	3	4	3	1	1	2	3	1	0	0	0	0	0	0		2	3	2	7	5	2	3	1	
73	2	1	1	6		2	9	9	9	9	9	9	9	3	3	2	2	0	0	0	0	0	0	0		2	1	0	4	9	2	5	5	
74	1	3	2	1		1	4	4	3	5	4	4	4	4	4	1	2	1	0	0	0	0	0	0		2	2	6	0	4	1	3	9	
75	2	2	1	2		1	4	5	4	4	4	3	4	3	4	2	2	1	0	0	0	0	0	0		2	1	1	2	3	1	4	1	
76	2	1	2	1		1	5	3	4	3	5	3	5	5	5	1	1	0	0	0	0	0	1	0		1	1	3	0	4	2	5	1	
77	2	1	1	2		1	4	4	4	4	4	4	4	4	4	1	1	1	0	0	0	0	0	0		2	1	10	0	5	1	1	5	
78	1	2	1	2		1	4	4	4	4	9	4	9	3	5	1	1	1	0	0	0	0	0	0		2	1	2	5	3	2	5	1	
79	2	1	1	6		4	9	9	9	9	9	9	9	5	9	1	9	0	0	0	0	0	0	0		2	1	3	4	4	2	1	1	
80	2	1	9	9		2	5	4	9	4	4	4	5	2	5	1	2	1	0	0	0	0	0	0		2	1	10	8	6	2	5	1	
81	2	3	2	1		2	9	9	9	9	9	9	9	1	1	2	9	1	0	0	0	0	0	0		3	1	2	7	5	2	2	1	
82	2	3	1	9		2	5	5	5	5	5	5	5	5	5	1	1	1	0	0	0	0	0	0		1	1	2	5	6	1	1	10	
83	2	2	1	5		2	5	4	5	5	5	9	5	2	5	1	1	1	0	0	0	0	0	0		1	1	1	0	3	1	2	1	
84	1	2	1	2		1	5	5	5	5	5	5	5	3	4	2	1	1	0	0	0	0	0	0		1	1	2	6	6	1	1	1	
85	2	4	4	2		1	2	5	9	9	9	9	9	2	9	1	5	1	0	0	0	0	0	0		1	1	1	0	5	1	5	1	
86	1	1	1	2		1	5	5	5	5	4	5	5	3	5	1	1	1	0	0	0	0	0	0		1	1	3	0	8	1	5	1	
87	2	1	1	2		1	5	5	5	5	5	3	5	1	3	1	2	0	0	0	0	0	0	0		2	1	4	0	1	1	5	1	
88	1	2	1	3		1	4	9	4	4	3	3	3	3	3	2	2	0	0	0	0	0	1	0		1	2	1	10	4	2	3	1	
89	1	1	9	9		1	5	5	5	5	4	4	4	4	5	1	2	0	0	0	0	0	0	0		1	1	3	5	7	2	5	1	
90	1	1	5	2		1	5	5	9	9	9	9	9	5	5	1	2	1	0	0	0	0	0	0		1	1	2	0	8	2	5	1	
91	1	4	1	9		2	3	9	9	9	9	9	9	9	9	2	9	0	0	0	0	0	0	0		2	2	0	7	1	2	3	1	
92	1	1	3	4		1	4	5	4	5	4	5	5	1	5	1	1	1	0	0	0	0	0	0		1	1	1	5	1	1	3	2	
93	1	4	1	2		2	3	9	9	9	9	9	9	4	4	1	2	1	0	0	0	0	0	0		1	3	12	1	7	2	4	4	
94	2	1	1	3		1	5	1	4	4	4	5	5	1	5	1	1	1	0	0	0	0	0	0		1	1	3	10	1	2	4	1	
95	1	2	1	3		2	3	5	5	5	2	9	4	3	3	2	3	1	0	0	0	0	0	0		2	1	2	5	5	2	1	1	
96	1	2	1	2		2	3	9	9	9	9	2	9	4	4	1	9	0	0	0	0	0	1	0		2	1	4	3	5	2	1	1	
97	2	1	1	2		1	5	1	4	4	4	5	5	1	5	1	1	1	0	0	0	0	0	0		1	3	1	6	9	2	5	17	
98	2	1	1	9		2	5	9	9	5	9	5	9	1	5	2	2	1	0	0	0	0	0	0		2	2	3	0	9	1	2	1	
99	2	4	1	2		1	5	9	2	5	3	5	4	3	4	4	2	1	0	0	0	0	0	0		2	1	10	0	7	1	5	3	
100	1	1	1	3		1	4	4	4	4	3	4	4	3	4	2	1	0	0	0	0	0	0	0		2	1	1	9	1	1	1	1	
101	2	1	1	2		1	5	9	4	9	4	4	5	1	3	1	2	1	0	0	0	0	0	0		2	1	4	3	4	1	4	4	
102	2	2	1	2		1	4	5	4	5	4	4	4	3	3	2	1	1	0	0	0	0	0	0		2	2	4	3	5	2	1	1	
103	2	1	1	2		2	5	5	5	5	5	4	5	3	5	1	1	1	0	0	0	0	0	0		2	1	7	11	1	1	1	13	
104	1	2	1	6		2	5	9	4	9	5	9	5	3	5	1	2	1	0	0	0	0	0	0		2	1	3	4	8	1	5	3	
105	1	1	1	2		1	5	5	5	5	4	4	4	2	5	1	1	1	0	0	0	0	0	0		2	1	1	10	8	1	3	1	
106	1	3	2	1		1	5	5	5	4	3	5	3	3	5	1	1	0	0	0	0	0	1	0		1	2	1	4	4	2	4	1	
107	2	2	1	9		1	5	4	5	9	5	3	5	2	4	1	2	1	0	0	0	0	0	0		1	1	0	9	8	2	4	3	
108	2	1	1	9		1	5	9	9	5	5	5	5	9	9	2	1	1	0	0	0	0	0	0		2	1	4	0	9	2	3	1	
109	2	2	1	6		1	4	4	5	4	4	4	4	2	3	1	1	1	0	0	0	0	0	0		2	2	2	5	6	2	2	12	
110	1	2	2	6		1	5	5	9	5	9	5	5	1	9	1	1	1	0	0	0	0	0	0		2	1	2	3	1	1	5	1	
111	1	1	1	2		1	5	4	4	4	4	4	4	3	4	2	2	1	0	0	0	0	0	0		1	1	3	4	1	2	1	1	
112	1	1	1	3		1	5	5	4	5	9	5	5	5	2	1	1	1	0	0	0	0	0	0		3	1	1	1	9	1	4	1	
113	1	2	2	7	심리적 안정	3	3	3	3	3	3	3	3	1	1	2	3	0	1	0	0	0	0	0		3	1	2	7	5	1	5	2	
114	2	3	1	2		1	5	5	5	5	5	5	5	5	5	1	1	0	0	0	0	0	0	0		1	1	1	1	8	2	5	1	
115	2	3	3	2		2	3	2	3	3	2	2	3	2	3	2	3	1	0	0	0	0	0	0		2	1	2	10	9	2	4	17	
116	2	1	2	1		1	5	5	5	5	5	4	5	2	4	1	1	1	0	0	0	0	0	0		2	2	20	0	3	1	4	1	
117	2	1	2	9		1	4	5	4	5	4	5	4	3	4	2	2	1	0	0	0	0	0	0		3	2	2	4	8	2	5	4	
118	1	1	2	3		1	5	5	5	5	5	5	5	5	5	1	1	0	0	0	0	0	0	0		2	1	6	2	7	2	5	6	
119	2	1	1	6		1	5	5	5	5	5	5	5	3	5	1	2	1	0	0	0	0	0	0		1	1	2	0	8	2	5	3	
120	1	1	2	4		2	3	9	4	3	3	9	4	2	4	2	3	0	1	0	0	0	1	0		2	1	2	7	5	2	4	1	
121	1	1	1	4		1	5	5	5	5	5	5	5	1	5	1	1	0	0	0	0	0	0	0		1	1	0	9	9	2	5	1	
122	2	2	1	2		1	4	5	9	5	9	5	9	1	3	2	3	1	0	0	0	0	0	0		2	2	2	6	6	2	2	1	
123	2	1	1	3		1	5	9	9	4	9	3	9	3	4	2	1	1	0	0	0	0	0	0		2	2	1	6	9	1	5	10	
124	2	3	2	6		1	5	5	3	5	5	5	5	5	5	1	1	1	0	0	0	0	0	0		1	1	5	0	7	2	4	1	
125	1	1	1	3		1	5	5	5	5	5	5	5	3	3	1	1	1	0	0	0	0	0	0		1	1	2	0	5	2	1	4	
126	1	1	3	1		3	3	3	4	3	3	2	2	3	3	1	3	0	1	1	0	0	0	0		2	2	1	0	6	1	4	1	
127	1	1	1	2		1	5	5	5	5	5	5	5	5	5	1	2	1	0	0	0	0	0	0		1	1	2	3	8	2	5	1	
128	2	1	1	3		1	5	1	4	4	4	5	5	1	5	1	1	1	0	0	0	0	0	0		1	1	1	11	4	2	5	1	
129	1	1	2	1		1	5	5	5	5	5	5	5	5	5	1	2	1	0	0	0	0	0	0		1	1	1	0	7	1	5	1	
130	1	2	1	6		1	9	9	9	9	9	9	9	9	9	1	1	1	0	0	0	0	0	0		1	1	1	10	3	1	5	14	
131	2	1	2	9		1	5	5	5	5	5	5	5	1	5	1	1	0	0	0	0	0	0	0		1	1	0	11	4	1	5	1	
132	1	4	1	9		1	5	9	9	9	9	9	9	9	3	1	9	0	0	0	0	0	0	0		9	1	1	0	9	2	2	2	
133	2	1	2	1		1	5	5	5	5	4	5	4	5	1	1	1	1	0	0	0	0	0	0		1	1	1	2	7	1	4	1	
134	1	1	1	3		2	4	5	5	5	2	4	9	5	5	1	2	0	1	0	0	0	0	0		1	2	1	4	3	2	5	1	
135	2	1	1	2		1	5	5	5	5	4	5	5	1	5	1	1	1	0	0	0	0	0	0		1	1	8	0	6	1	5	3	
136	2	2	2	1		1	5	5	5	5	5	5	5	3	5	2	2	1	0	0	0	0	0	0		2	1	4	3	5	2	3	1	
137	2	1	1	2		1	5	5	5	9	5	9	5	1	5	1	1	0	0	0	0	0	0	0		2	1	2	6	8	2	4	2	
138	1	1	1	2		1	5	5	3	5	3	5	5	5	5	1	2	1	0	0	0	0	0	0		1	1	1	10	8	2	5	1	
139	1	2	1	4		1	3	9	5	4	4	3	4	3	5	2	1	0	0	0	0	0	0	0		2	1	2	0	5	2	5	1	
140	2	1	1	3		1	5	5	9	9	9	9	5	4	3	1	1	1	0	0	0	0	0	0		1	1	4	3	1	1	2	1	
141	2	1	1	2		1	5	5	5	5	5	5	5	2	4	1	1	0	0	0	0	1	0	0		3	1	1	10	8	2	3	1	
142	1	1	2	3		1	5	5	5	5	5	4	5	5	5	1	1	1	0	0	0	0	0	0		1	1	2	0	8	2	4	1	
143	1	3	3	2		2	5	9	9	5	9	4	4	1	3	1	2	1	0	0	0	0	0	0		2	1	2	5	7	1	5	1	
144	2	1	2	1		2	5	5	5	5	3	3	3	3	4	2	2	1	0	0	0	0	0	0		2	2	2	0	8	2	2	6	
145	1	1	1	2		1	5	5	5	5	5	5	5	5	5	1	1	0	0	0	0	0	0	0		9	1	0	7	6	2	3	1	
146	1	1	1	9		1	5	5	5	5	5	5	5	5	5	1	1	1	0	0	0	0	0	0		9	1	1	4	8	2	5	2	
147	1	2	1	6		2	4	3	3	3	3	3	3	2	4	1	3	1	0	0	0	0	0	0		2	3	2	0	8	1	4	1	
148	2	1	2	1		1	4	5	4	9	4	3	5	3	4	1	1	1	0	0	0	0	0	0		1	1	1	1	7	2	5	1	
149	1	3	1	6		1	5	4	4	5	4	5	4	3	5	1	1	0	0	0	0	0	0	0		1	1	1	10	9	1	2	4	
150	1	3	4	5		1	3	3	3	3	3	3	3	3	3	1	3	1	0	0	0	0	0	0		1	1	1	10	4	1	4	9	
151	1	4	2	1		1	9	9	9	9	9	9	9	4	4	1	5	0	0	0	0	0	0	0		2	2	1	7	8	2	3	1	
152	1	1	2	4		2	5	5	3	5	3	3	9	3	3	1	2	1	0	0	0	0	0	0		1	1	1	11	5	2	5	1	
153	1	2	1	2		1	5	5	5	5	5	5	5	5	5	1	1	1	0	0	0	0	0	0		1	1	1	2	8	1	5	14	
154	1	1	1	2		2	3	5	5	5	4	5	4	3	5	1	1	1	0	0	0	0	0	0		2	1	4	0	3	2	2	13	
155	1	2	1	3		1	3	3	4	3	3	3	4	4	5	1	2	1	0	0	0	0	0	0		1	2	0	0	8	1	5	1	
156	1	1	1	6		1	5	4	5	4	5	4	5	3	4	1	1	1	0	0	0	0	0	0		1	1	1	1	8	2	5	10	
157	2	2	1	2		2	4	3	3	4	3	3	3	3	4	1	2	0	0	0	0	0	1	0		1	1	1	3	4	2	2	1	
158	1	3	1	2		2	4	9	4	9	4	9	4	2	2	2	2	0	0	0	0	0	0	0		2	2	4	3	6	2	1	1	
159	2	2	5	3		1	5	5	4	4	3	3	3	2	3	1	2	1	0	0	0	0	0	0		1	1	4	3	8	1	5	1	
160	2	2	2	4		2	3	3	3	3	3	3	3	3	3	2	2	1	0	0	0	0	0	0		2	3	1	0	3	1	1	1	
161	2	1	9	9		2	9	5	9	5	9	5	9	5	5	2	2	0	0	0	0	0	0	0		1	1	2	5	1	1	5	1	
162	2	3	2	1		1	5	9	5	5	5	5	5	5	5	9	1	1	0	0	0	0	0	0		1	1	1	7	8	2	5	1	
163	1	1	2	5		1	4	5	5	9	5	5	4	3	4	1	1	1	0	0	0	0	0	0		1	1	2	8	6	2	4	10	
164	2	1	2	1		1	4	5	5	9	2	5	2	4	4	1	1	1	0	0	0	0	0	0		3	1	6	0	6	2	4	13	
165	1	3	1	2		1	5	9	2	5	4	4	4	4	4	1	1	1	0	0	0	0	0	0		1	1	7	0	9	2	4	1	
166	2	2	1	2		1	3	4	3	4	3	4	3	4	4	1	3	0	0	0	0	0	0	0		1	1	1	5	1	2	4	10	
167	2	2	4	2		1	4	2	4	4	3	3	3	4	4	1	1	1	0	0	0	0	0	0		1	1	1	0	6	1	3	1	
168	1	1	1	3		1	9	9	9	9	9	9	9	2	9	1	2	1	0	0	0	0	0	0		1	3	3	0	6	2	4	1	
169	2	4	1	3		2	3	2	3	2	4	3	4	2	4	2	2	1	0	0	0	0	0	0		2	2	1	4	1	2	3	13	
170	2	2	1	2		1	5	9	5	5	5	9	5	2	4	1	1	1	0	0	0	0	0	0		2	1	4	3	5	2	1	2	
171	2	2	1	6		1	4	9	4	9	4	4	4	4	4	1	2	0	0	0	0	0	0	0		3	1	6	2	5	1	5	2	
172	2	3	1	6		2	5	3	5	3	4	3	5	3	3	2	2	1	0	0	0	0	0	0		2	1	2	7	6	1	5	1	
173	1	1	7	2	재미	1	5	9	5	9	4	9	5	5	5	1	3	0	0	0	0	0	1	0		1	1	2	7	7	1	5	1	
174	1	1	1	2		1	5	5	9	9	9	9	9	5	9	1	1	1	0	0	0	0	0	0		2	1	4	3	7	1	5	4	
175	1	1	1	3		1	9	9	9	1	9	9	4	3	4	1	1	1	0	0	0	0	0	0		1	3	2	7	8	2	5	1	
176	1	1	1	2		1	3	2	9	9	9	9	9	2	3	1	2	1	0	0	0	0	0	0		2	2	7	6	7	2	5	1	
177	2	1	1	2		1	5	5	5	5	4	5	5	3	5	1	1	1	0	0	0	0	0	0		2	1	1	3	3	1	4	2	
178	2	2	2	1		2	4	9	4	4	4	4	4	4	4	2	2	0	0	0	0	0	0	0		4	3	2	8	8	2	5	1	
179	2	1	1	2		1	5	5	5	5	5	5	5	5	5	1	1	1	0	0	0	0	0	0		2	1	4	0	8	1	5	5	
180	1	1	1	9		2	3	3	9	9	9	9	9	9	9	2	2	1	0	0	0	0	0	0		3	3	6	2	1	2	1	1	
181	2	3	1	2		2	9	9	3	9	3	3	9	1	3	9	1	0	0	0	0	0	0	0		2	2	5	1	1	1	5	13	
182	2	1	2	1		2	3	5	4	4	3	2	3	3	3	1	2	0	1	0	0	0	0	0		1	1	2	7	4	1	5	2	
183	1	4	1	3		1	3	9	3	9	1	3	3	1	4	1	3	0	0	0	0	0	1	0		2	1	2	0	1	2	3	2	
184	1	2	1	6		2	4	4	4	4	4	4	4	4	4	1	2	1	0	0	0	0	0	0		1	1	3	0	6	2	5	1	
185	1	1	1	2		2	3	4	5	9	3	3	3	3	4	2	2	1	0	0	0	0	0	0		3	1	6	0	9	1	4	1	
186	1	4	1	6		2	4	2	3	2	3	2	3	1	3	2	2	1	0	0	0	0	0	0		4	2	1	8	4	2	3	14	
187	1	2	1	2		1	5	3	5	5	5	5	4	3	4	1	3	1	0	0	0	0	0	0		1	1	1	11	3	1	5	10	
188	2	1	1	2		2	4	4	5	4	4	4	2	4	5	1	1	1	0	0	0	0	0	0		1	1	2	5	1	2	4	4	
189	2	3	1	2		1	5	3	5	4	4	5	4	4	5	1	1	1	0	0	0	0	0	0		1	1	0	6	9	2	9	4	
190	2	2	1	2		1	5	4	5	4	4	3	4	5	5	2	2	1	0	0	0	0	0	0		2	3	0	1	8	2	5	3	
191	2	1	6	1		1	5	5	5	5	5	5	5	9	9	1	1	1	0	0	0	0	0	0		1	1	2	5	5	2	2	3	
192	2	2	1	2		1	5	5	3	4	5	5	4	3	4	2	2	1	0	0	0	0	0	0		2	2	1	0	1	2	5	1	
193	2	2	1	2		2	4	3	3	3	3	3	4	2	3	2	1	1	0	0	0	0	0	0		2	3	1	5	5	1	9	15	
194	1	2	1	2		2	5	5	5	5	5	5	5	4	4	1	1	0	0	0	0	0	0	0		2	1	2	3	6	2	3	1	
195	1	2	4	6		1	4	5	3	5	3	5	4	4	4	1	1	0	0	0	0	0	1	0		2	1	6	2	8	1	4	8	
196	2	2	2	4		2	3	4	5	3	4	4	4	4	5	1	3	0	1	0	0	0	0	0		1	1	4	3	8	1	5	2	
197	2	2	1	2		1	9	9	9	9	9	9	9	4	4	1	2	1	0	0	0	0	0	0		2	1	6	2	3	1	9	17	
198	2	2	3	6		2	9	9	9	9	3	4	9	2	4	2	2	1	0	0	0	0	0	0		2	1	2	7	9	2	4	9	
199	2	1	9	9		1	9	9	5	5	9	4	5	5	4	3	2	1	0	0	0	0	0	0		1	3	1	11	5	1	2	1	
200	1	1	2	1		2	5	5	5	5	5	5	5	5	5	2	3	0	0	0	0	0	0	0		3	3	2	0	3	1	1	5	
201	2	1	1	4		1	5	4	5	4	5	4	5	1	4	1	1	1	0	0	0	0	0	0		1	1	1	0	4	2	5	1	
202	1	2	1	2		2	4	2	5	3	1	1	1	1	3	1	1	1	0	0	0	0	0	0		2	3	1	9	8	2	5	1	
203	1	3	1	2		1	5	9	2	5	4	5	5	4	4	1	2	1	0	0	0	0	0	0		2	2	0	3	7	2	2	3	
204	2	2	1	6		2	3	3	2	3	2	3	3	2	4	2	3	0	0	0	0	0	0	0		1	3	4	3	7	2	4	2	
205	2	1	1	2		1	5	9	5	5	5	5	5	4	5	1	2	1	0	0	0	0	0	0		1	1	1	8	7	1	5	3	
206	2	2	1	2		2	4	5	3	5	3	5	3	5	2	2	3	1	0	0	0	0	0	0		3	3	1	10	3	2	5	2	
207	2	3	1	4		1	3	3	9	9	9	9	9	3	4	2	2	1	0	0	0	0	0	0		2	2	7	9	7	2	5	13	
208	2	2	1	2		1	5	4	5	5	4	4	4	3	5	1	1	1	0	0	0	0	0	0		1	1	9	0	6	2	2	1	
209	2	2	1	9		2	3	3	3	3	3	3	3	1	1	3	3	1	0	0	0	0	0	0		3	3	2	5	6	1	2	1	
210	2	3	2	1		2	3	5	5	3	3	2	2	5	5	2	3	0	1	1	0	1	1	0		2	1	12	0	1	2	5	1	
